Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
15,74,41,7,52
16.5,83,48,8,54.5
15.3,87,43,7,41
20.4,84,53,8,60
25.5,84,54,6,63
30,70,55,7,75
35.6,69,54,8,69.5
25.7,70,54,7,70.5
34.9,69,53,8,72.5
53.3,72,54,7,73
33,76,52,7,63
17.3,84,47,6,52.5
20.1,77,53,7,64
24.4,72,53,7,66
15.6,70,44,10,58.5
16.6,69,40,8,52
15.4,75,37,6,41.5
10.6,78,23,7,29.5
10.5,80,32,8,41
22.7,69,46,6,62
29.6,75,48,8,61
24.7,72,50,8,68
26.7,67,49,8,72.5
21.3,70,45,7,59.5
19.3,79,46,5,52.5
16.3,76,32,7,47
16.4,79,27,7,33
11,84,28,8,33.5
13.9,71,42,8,48
8.4,66,41,13,52.5
10,74,40,9,48
13.6,79,30,7,36
15.5,68,44,25,55
18.8,66,47,44,65.5
34.4,66,47,44,70.5
27.4,72,40,22,49.5
20.2,61,45,36,62
11,59,42,39,65.5
9.9,54,45,28,69
9.4,57,29,24,48
17.6,59,34,31,52
26,62,37,29,47
29.2,58,51,46,79
8.8,64,56,52,86.5
7.8,63,51,47,74.5
15.9,65,47,45,72.5
11.5,71,40,30,52.5
12.2,75,38,31,40.5
12,76,36,31,39.5
11.8,80,37,29,37.5
22.6,68,41,7,54.5
10.8,61,34,17,49
10,67,26,8,35.5
22.6,68,39,6,56.5
25.6,66,40,7,55.5
31.5,62,44,6,67.5
30.6,64,39,6,60
10.5,69,29,7,33
18.7,66,41,7,59
21.2,56,47,8,77.5
18.6,69,43,5,61.5
15.9,70,36,8,42
7,78,35,7,41.5
6.7,79,25,6,22
6.2,77,26,6,27
8.8,78,30,12,39
22.5,76,38,6,44
34.5,74,44,6,56
19.4,79,42,5,56
8,77,37,6,34.5
10.3,77,39,7,44
14.8,81,39,5,39
28.2,73,49,7,60.5
19.9,66,50,10,66.5
17.7,74,39,7,51.5
12,76,32,6,36.5
14.4,71,40,8,51
19,66,49,7,67
11.1,62,54,16,82.5
12.2,58,48,15,75
9.5,59,48,12,80
6.2,58,48,16,77.5
7.3,53,44,7,81.5
13.5,60,41,7,66
16.5,64,41,8,62.5
16.8,67,42,8,55.5
18.3,61,45,9,66.5
12.7,69,47,8,60
14.5,71,44,7,52.5
21.8,68,45,8,63
26.6,64,48,8,72.5
30.1,66,46,7,65
32,68,47,7,62.5
40.7,66,50,7,70.5
27.2,70,48,7,64
18.6,65,49,8,68
12.7,58,51,13,80.5
12.2,65,41,7,62.5
16.6,65,45,9,67.5
25.7,67,48,8,68.5
21.1,75,46,8,58.5
14.1,81,42,8,51.5
12.3,82,39,6,40
14.5,84,39,7,40.5
21.6,80,44,8,48.5
44.3,69,52,7,73
15.4,64,47,9,64.5
6.9,64,48,9,67
6.8,65,50,13,67.5
5.6,70,40,12,53.5
11,69,30,9,36.5
16.2,66,46,7,58
17.1,70,51,8,71
18.1,75,48,9,55
8.4,66,48,10,63
5.6,64,42,8,62.5
10.3,68,42,9,52
14.3,66,48,8,66.5
6.3,62,31,14,49
7,64,31,13,41
12.2,68,33,10,43.5
14,71,39,10,49
17,66,46,7,64.5
13.5,71,41,8,52
11.2,82,34,8,39.5
10,88,35,12,29.5
9.1,87,35,10,28.5
20.5,78,50,8,58
25,74,51,8,62
28,81,49,7,56
26.1,80,50,7,61.5
22.8,72,49,8,62
19.5,73,49,10,59.5
24.5,75,51,9,65
21.3,67,48,9,69
14.8,73,42,10,47.5
12.1,83,38,9,41
6.9,85,25,10,22
12.1,81,39,9,47.5
11.9,68,51,9,69.5
8.9,66,44,10,53
6.3,64,40,12,58
12.2,69,43,12,57
13.4,70,46,12,61
11.5,65,45,9,65.5
6.2,64,49,13,62.5
8.7,72,40,10,52.5
10.3,82,37,9,40
9.9,84,36,9,42
20.5,76,51,8,58
19.3,67,44,7,57.5
15.9,64,47,12,67
7.8,65,48,14,68.5
13,67,44,10,55.5
15.4,70,47,10,60.5
15.2,73,48,9,61.5
15.9,72,50,10,65
21,76,50,9,60.5
22.1,76,53,10,63.5
19.4,73,52,10,64.5
9,68,53,13,68
4.7,63,40,15,57
7.6,61,40,10,56.5
12.5,69,45,12,58.5
18.3,70,49,9,65
25,75,52,9,69.5
33.4,73,53,10,75
32.3,67,52,8,73.5
6.3,67,51,13,67
4.7,70,30,18,40
4.9,75,32,14,29
12.2,73,46,13,53.5
15.2,74,50,10,58
18.2,81,52,8,58
21.9,79,53,7,61.5
24.3,74,53,9,68
25.2,75,50,10,61
21.4,79,49,9,55.5
16.9,77,49,9,55.5
10.1,68,49,13,64
8.3,69,47,10,61
7.5,69,41,13,48
12.5,74,47,10,56
19.2,76,50,10,56.5
24.9,73,52,8,64.5
31.7,73,53,9,66.5
26.8,73,54,9,71.5
13.8,64,53,7,74.5
10.3,69,54,9,72
18.9,74,54,10,70
18.8,78,54,9,65
16.3,73,52,13,59
11.2,71,45,9,52.5
7.5,67,42,15,49
10,70,46,13,58
9.6,72,48,12,61
8,71,52,12,69.5
6.7,69,52,8,65.5
8.7,72,47,13,54
10.6,81,47,10,46
15.7,84,54,9,55.5
17.6,79,54,9,60
20.5,75,53,10,63.5
22.8,75,53,9,60.5
32.4,77,56,9,69
33.6,77,57,7,69
40.9,81,59,7,64.5
29.8,81,59,10,69
26.1,77,59,8,72
18.6,74,58,8,70.5
14.7,75,57,10,65.5
14.1,75,56,9,65.5
15.3,74,54,9,63
19.7,75,55,9,64
20.6,75,56,9,70.5
22,79,58,10,71
25.1,81,57,8,66
20.5,78,54,9,60.5
27.5,78,56,9,65
23.7,78,55,10,67
16,78,54,8,62
14.7,79,54,10,60
15.2,75,54,10,65.5
21.2,78,55,9,62.5
22.8,78,56,8,65
23.7,80,56,6,64.5
22.8,78,57,8,63
12.9,76,56,9,67.5
21.7,79,58,9,65
24.8,78,58,10,66
17.2,73,58,8,69.5
20.1,76,59,9,71
37.4,77,58,9,69
22,77,57,8,64
16.9,77,56,10,64
18,77,55,9,62
18.6,75,57,8,67.5
10.6,72,57,8,70.5
13.2,71,55,10,69.5
16.4,70,56,8,69.5
27.6,74,57,8,67.5
32.2,81,58,8,67
22,79,59,8,66
15.1,75,57,9,67.5
14.8,86,56,10,56
17,94,57,10,50
18.5,92,58,8,51
