Daily Mean PM2.5 Concentration,Max Temp,Avg Dew Point,Max Wind Speed,Avg Humidity
1,82,61,9,70.5
1,83,62,9,69.5
1,66,49,7,67
1,92,57,8,47.5
1,76,41,12,49
1,68,52,7,73.5
1,84,26,7,33
1,67,49,8,65.5
1,91,59,12,52
1,79,60,8,74.5
1,82,58,9,67.5
1,62,39,10,57.5
1,90,62,8,71.5
1,77,54,8,69.5
1,80,60,9,70.5
1,85,56,9,61.5
1,82,61,7,66
1,74,54,10,70
1,90,61,8,58
1,74,35,8,47.5
1,74,53,10,63.5
1,92,63,8,58
1,96,33,8,28
1,81,42,9,52
1,81,61,8,70.5
1,66,47,44,65.5
1,78,54,9,65
1,77,58,8,73.5
1,84,60,8,67
1,83,49,8,53.5
1,86,57,9,53.5
1,65,48,10,66.5
1,79,57,9,66
1,91,61,8,64
1,86,62,9,64.5
1,84,61,8,67
1,92,59,7,53.5
1,66,41,7,59
1,80,56,9,65.5
1,94,55,8,52
1,64,43,5,68.5
1,64,43,5,68.5
1,71,52,10,69.5
1,84,52,9,53.5
1,71,48,12,60
1,76,57,12,65
1,82,61,8,66
1,89,56,9,54
1,69,43,5,61.5
1,65,49,8,68
1,74,58,8,70.5
1,75,57,8,67.5
1,105,52,8,40.5
1,78,57,9,71.5
1,71,51,9,71
1,76,56,9,66
1,90,62,7,64
1,80,32,5,34.5
1,79,49,7,64.5
1,72,46,9,56.5
1,98,63,8,54
1,96,55,7,48
1,89,54,9,53.5
1,86,62,9,64
1,92,58,8,51
1,66,51,8,71
1,74,46,6,59
1,78,25,5,42.5
1,85,48,8,56.5
1,72,50,9,65
1,75,56,9,65.5
1,95,60,9,53
1,73,52,10,60.5
1,71,53,10,68.5
1,78,55,8,61.5
1,81,59,9,70.5
1,78,57,10,66.5
1,84,53,9,56.5
1,97,59,8,53
1,82,57,9,61.5
1,87,60,8,59
1,82,61,7,70.5
1,78,54,9,63.5
1,90,58,8,56.5
1,92,62,7,57.5
1,86,62,8,60.5
1,61,45,9,66.5
1,70,49,9,65
1,87,57,8,55
1,79,55,8,65.5
1,77,55,6,69.5
1,73,52,9,64.5
1,95,60,8,54.5
1,66,49,8,74.5
1,78,60,10,71.5
1,80,60,8,68.5
1,65,49,8,72.5
